URL,Level,Children URLs,Most Important Words
https://arxiv.org/abs/2001.01106,1,0,resonance;callisto;ganymede;astro;ph;io;europa;laplace;bibliographic;ep
https://arxiv.org/abs/0801.4031,1,0,solar;mass;sun;giant;tip;planet;rgb;loss;astro;earth
https://arxiv.org/abs/1102.0007,1,0,ph;astro;cosmology;stars;co;bibliographic;astrophysics;citations;hep;explorer
https://foundation.wikimedia.org/wiki/Terms_of_Use,1,7,use;terms;content;project;may;license;wikimedia;community;projects;users
https://pubmed.ncbi.nlm.nih.gov/12935004,1,1,pmid;energy;phys;pmc;epub;free;article;dark;aug;fields
https://arxiv.org/abs/hep-th/0303194,1,0,hep;theory;kb;mar;help;utc;bibliographic;string;vacua;number
https://hdl.handle.net/2027.42%2F41972,1,0,access;blue;deep;collections;handle;library;michigan;department;copyright;accessibility
https://arxiv.org/abs/2110.07934,1,0,astro;ph;white;planetary;dwarfs;bibliographic;ep;host;astrophysics;jupiter
https://arxiv.org/abs/0912.2482,1,0,astro;ph;planetary;bibliographic;ep;hz;habitable;habitability;citations;circumstellar
https://arxiv.org/abs/0705.1170,1,0,astro;ph;sun;bibliographic;merger;galaxies;citations;way;andromeda;explorer
https://arxiv.org/abs/1210.5721,1,0,life;earth;astro;ph;bibliographic;ep;unicellular;sun;habitability;citations
https://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.337.7948,1,0,citeseerx;page;data;submit;documents;university;scientific;dmca;back;privacy
https://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.534.8855,1,0,citeseerx;page;data;submit;documents;university;scientific;dmca;back;privacy
https://en.m.wikipedia.org/w/index.php?title=Timeline_of_the_far_future&mobileaction=toggle_view_mobile,1,63,earth;time;million;universe;years;may;estimated;sun;billion;solar
https://arxiv.org/abs/0812.2720,1,0,cluster;astro;ph;constraints;bibliographic;mass;clusters;citations;chandra;explorer
https://arxiv.org/abs/astro-ph/0302506,1,0,energy;astro;ph;bibliographic;phantom;cosmic;citations;universe;explorer;litmaps
https://arxiv.org/abs/astro-ph/0305211,1,0,astro;ph;bibliographic;citations;explorer;litmaps;toggle;help;energy;submitted
https://arxiv.org/abs/astro-ph/9810024,1,0,micron;astro;ph;dust;bibliographic;citations;star;shell;vy;plume
https://pubmed.ncbi.nlm.nih.gov/17817517,1,1,pmid;entropy;expanding;universe;pmc;review;science;free;ncbi;article
https://www.worldcat.org/oclc/122261590,1,0,cookies;oclc;libraries;cookie;information;weisman;library;may;reviews;without
https://arxiv.org/abs/2104.01191,1,0,universe;qc;physics;gr;bibliographic;hep;explorer;litmaps;citations;toggle
https://pubmed.ncbi.nlm.nih.gov/19400579,1,1,memory;pmid;information;shuttle;nanoscale;mesh;device;chemistry;nano;ncbi
https://en.wikipedia.org/wiki/Wikipedia:Contact_us,1,7,wikipedia;page;information;contact;help;us;article;content;email;view
https://arxiv.org/abs/astro-ph/0407400,1,0,astro;ph;centaurs;bibliographic;new;centaur;population;myr;citations;yrs
https://arxiv.org/abs/1912.03503,1,0,ph;astro;spacecraft;astrophysics;physics;bibliographic;ep;pioneer;explorer;litmaps
https://foundation.wikimedia.org/wiki/Privacy_policy,1,5,information;wikimedia;policy;sites;use;privacy;personal;may;top;back
https://pubmed.ncbi.nlm.nih.gov/24484138,1,1,pmid;data;pmc;storage;apr;free;article;epub;digital;articles
https://arxiv.org/abs/astro-ph/9902189,1,0,ph;astro;universe;bibliographic;citations;life;explorer;litmaps;physics;toggle
https://arxiv.org/abs/1707.08124,1,0,hep;uncertainty;ph;loop;bibliographic;kb;utc;energy;citations;one
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2701016,1,2,pressure;atmosphere;earth;atmospheric;google;co;scholar;life;ga;surface
https://pubmed.ncbi.nlm.nih.gov/9787467,1,1,pmc;pmid;sci;free;article;pubmed;proc;pleistocene;biol;mitochondrial
https://creativecommons.org/licenses/by-sa/3.0/,1,0,license;use;material;terms;commons;bahasa;creative;espa;may;portugu
